Time(sentisec);X_A(m);Y_A(m);X_B(m);Y_B(m);X_C(m);Y_C(m);X_D(m);Y_D(m);X_G(m);Y_G(m);X_H(m);Y_H(m);X_L(m);Y_L(m)
1680060.0;2999.7864;1848.9285;2999.4579;1855.2376;3002.1448;1853.304;2999.9902;1856.0696;3002.202;1852.9365;3000.5056;1852.5791;2996.5365;1851.0228
1680080.0;2999.7355;1848.9894;2999.3805;1855.2399;3002.2026;1853.2529;2999.9893;1856.08;3002.1442;1852.9725;3000.4769;1852.5523;2996.5725;1850.9834
1680100.0;2999.6921;1849.0622;2999.2786;1855.2616;3002.2506;1853.1951;2999.9832;1856.0828;3002.0846;1853.0072;3000.4532;1852.5494;2996.6021;1850.9387
1680120.0;2999.6554;1849.1472;2999.1574;1855.3108;3002.2829;1853.1421;2999.9805;1856.0824;3002.0186;1853.0439;3000.4296;1852.5536;2996.6268;1850.8888
1680140.0;2999.6227;1849.2441;2999.0255;1855.3905;3002.2982;1853.1091;2999.986;1856.0795;3001.9503;1853.0782;3000.405;1852.5552;2996.6509;1850.8286
1680160.0;2999.5925;1849.3535;2998.8862;1855.497;3002.3018;1853.1012;2999.9974;1856.0718;3001.8887;1853.1024;3000.3813;1852.5499;2996.6824;1850.7507
1680180.0;2999.5658;1849.4751;2998.7386;1855.6234;3002.3039;1853.1098;3000.0079;1856.0565;3001.8417;1853.1111;3000.3616;1852.5354;2996.7284;1850.6516
1680200.0;2999.5442;1849.6042;2998.582;1855.7625;3002.3129;1853.1218;3000.0108;1856.0326;3001.8115;1853.102;3000.3487;1852.5105;2996.7901;1850.5371
1680220.0;2999.5267;1849.7325;2998.4209;1855.9075;3002.3325;1853.1294;3000.0019;1856.0041;3001.7953;1853.0756;3000.3435;1852.4782;2996.8619;1850.4215
1680240.0;2999.5091;1849.8521;2998.2623;1856.0499;3002.3616;1853.1302;2999.9789;1855.9795;3001.7882;1853.0347;3000.345;1852.4435;2996.9344;1850.3204
1680260.0;2999.4875;1849.9601;2998.1094;1856.1813;3002.3983;1853.1248;2999.9419;1855.967;3001.7857;1852.9812;3000.3522;1852.4102;2996.9999;1850.2447
1680280.0;2999.4607;1850.0575;2997.9606;1856.2976;3002.4417;1853.1148;2999.8934;1855.9676;3001.7848;1852.9143;3000.3654;1852.3775;2997.0537;1850.1962
1680300.0;2999.4299;1850.1453;2997.8141;1856.3995;3002.493;1853.1046;2999.8372;1855.9724;3001.784;1852.8306;3000.3853;1852.3423;2997.0934;1850.1694
1680320.0;2999.3949;1850.221;2997.671;1856.4913;3002.5521;1853.1002;2999.7776;1855.9675;3001.7819;1852.7299;3000.4119;1852.3047;2997.1192;1850.1543
