Time(sentisec);X_A(m);Y_A(m);X_L(m);Y_L(m);X_B(m);Y_B(m);X_C(m);Y_C(m);X_D(m);Y_D(m);X_E(m);Y_E(m);X_G(m);Y_G(m);X_H(m);Y_H(m);X_I(m);Y_I(m);X_J(m);Y_J(m)
2229920.0;2999.4282;1849.3439;3000.6727;1849.7407;2995.6505;1848.5055;2983.1876;1864.9263;3004.0295;1845.1621;2994.8527;1847.2076;3002.6157;1843.3578;3004.181;1840.0233;2995.6316;1840.6778;3012.466;1878.2185
2229920.0;2999.4282;1849.3439;3000.6727;1849.7407;2995.6505;1848.5055;2983.1876;1864.9263;3004.0295;1845.1621;2994.8527;1847.2076;3002.6157;1843.3578;3004.181;1840.0233;2995.6316;1840.6778;3012.466;1878.2185
2229940.0;2999.2364;1849.4684;3000.7206;1849.7004;2995.6424;1848.7004;2983.1042;1865.1497;3003.9273;1845.1973;2994.9132;1847.007;3002.6232;1843.4657;3004.181;1839.9864;2995.6158;1840.9293;3012.5417;1878.3271
2229940.0;2999.2364;1849.4684;3000.7206;1849.7004;2995.6424;1848.7004;2983.1042;1865.1497;3003.9273;1845.1973;2994.9132;1847.007;3002.6232;1843.4657;3004.181;1839.9864;2995.6158;1840.9293;3012.5417;1878.3271
2229960.0;2999.1196;1849.5617;3000.7383;1849.6774;2995.639;1848.9076;2983.1323;1865.342;3003.8421;1845.3322;2994.9767;1846.7987;3002.5948;1843.5995;3004.181;1839.9558;2995.61;1841.169;3012.6174;1878.4356
2229960.0;2999.1196;1849.5617;3000.7383;1849.6774;2995.639;1848.9076;2983.1323;1865.342;3003.8421;1845.3322;2994.9767;1846.7987;3002.5948;1843.5995;3004.181;1839.9558;2995.61;1841.169;3012.6174;1878.4356
2229980.0;2999.0469;1849.6335;3000.7378;1849.6778;2995.6376;1849.1258;2983.2997;1865.492;3003.7662;1845.5241;2995.0395;1846.5904;3002.5395;1843.7361;3004.181;1839.9259;2995.6093;1841.3853;3012.6931;1878.5442
2229980.0;2999.0469;1849.6335;3000.7378;1849.6778;2995.6376;1849.1258;2983.2997;1865.492;3003.7662;1845.5241;2995.0395;1846.5904;3002.5395;1843.7361;3004.181;1839.9259;2995.6093;1841.3853;3012.6931;1878.5442
2230000.0;2998.9869;1849.698;3000.7338;1849.7008;2995.6363;1849.3497;2983.6014;1865.5963;3003.6949;1845.744;2995.0992;1846.3916;3002.4657;1843.8519;3004.181;1839.8948;2995.614;1841.5712;3012.7688;1878.6528
2230000.0;2998.9869;1849.698;3000.7338;1849.7008;2995.6363;1849.3497;2983.6014;1865.5963;3003.6949;1845.744;2995.0992;1846.3916;3002.4657;1843.8519;3004.181;1839.8948;2995.614;1841.5712;3012.7688;1878.6528
2230020.0;2998.9207;1849.7644;3000.7386;1849.7392;2995.6329;1849.5732;2983.9986;1865.6589;3003.6253;1845.9869;2995.1532;1846.2114;3002.3765;1843.9348;3004.181;1839.8633;2995.6273;1841.7272;3012.8444;1878.7614
2230020.0;2998.9207;1849.7644;3000.7386;1849.7392;2995.6329;1849.5732;2983.9986;1865.6589;3003.6253;1845.9869;2995.1532;1846.2114;3002.3765;1843.9348;3004.181;1839.8633;2995.6273;1841.7272;3012.8444;1878.7614
2230040.0;2998.8433;1849.8332;3000.7568;1849.7831;2995.6247;1849.7947;2984.4344;1865.6866;3003.5583;1846.2672;2995.1982;1846.0533;3002.2723;1843.983;3004.181;1839.8338;2995.6503;1841.8612;3012.9201;1878.8699
